Temporada,Fecha,Hora,Presion(hPa),Temp(°C)
Invierno,6092025,16:00,986,20.1
Invierno,6092025,18:00,987.5,16
Invierno,6092025,20:00,988.5,13.9
Invierno,6092025,22:00,988.5,11.8
Invierno,7092025,0:00,988,11.9
Invierno,7092025,2:00,987,12.6
Invierno,7092025,4:00,987,13.3
Invierno,7092025,6:00,988.5,13.3
Invierno,7092025,8:00,989,14.8
Invierno,7092025,10:00,989,17.9
Invierno,7092025,12:00,988,18.9
Invierno,7092025,14:00,986.5,22.3
Invierno,7092025,16:00,986.5,20.1
Invierno,7092025,18:00,987,16.4
Invierno,7092025,20:00,987.5,15.4
Verano,17022025,6:00,985,21.4
Verano,17022025,8:00,985.5,24.1
Verano,17022025,10:00,985,27.3
Verano,17022025,12:00,984.5,28.8
Verano,17022025,14:00,983,31.5
Verano,17022025,16:00,982,30.8
Verano,17022025,18:00,983,25.9
Verano,17022025,20:00,984.4,22.7
Verano,17022025,22:00,985.5,21.9
Verano,18022025,0:00,986,21.1
Verano,18022025,2:00,984,20.9
Verano,18022025,4:00,983.5,20.6
Verano,18022025,6:00,984.4,20.6
Verano,18022025,8:00,985,21.9
Verano,18022025,10:00,984,27.9
Verano,18022025,12:00,983.5,28.3
Verano,18022025,14:00,983,27.4
Verano,18022025,16:00,982.5,29.4
Verano,18022025,18:00,983.5,23.7
Verano,18022025,20:00,984.5,22.4
Verano,18022025,22:00,985,22.2
Verano,19022025,0:00,984.5,20.6
Verano,19022025,2:00,983.5,20.4
Verano,19022025,4:00,983,20
Verano,19022025,6:00,984,19.8
Verano,19022025,8:00,985,22
Verano,19022025,10:00,984,28.7
Verano,19022025,12:00,983,29.3
Verano,19022025,14:00,982,30
Verano,19022025,16:00,982,29.2
Verano,19022025,18:00,983,26
Verano,19022025,20:00,984,24
Verano,19022025,22:00,984,22.4
Verano,20022025,0:00,983,21.9
Verano,20022025,2:00,982,21.6
Verano,20022025,4:00,982.5,21.4
Verano,20022025,6:00,983,20
Verano,20022025,8:00,984,25.6
Verano,20022025,10:00,984,27.6
Verano,20022025,12:00,983,29.8
Verano,20022025,14:00,982.5,30.3
Verano,20022025,16:00,982.5,29.4
Verano,20022025,18:00,983.5,26.4
Verano,20022025,20:00,985,24
Verano,20022025,22:00,985,21.9
Verano,21022025,0:00,984,21
Verano,21022025,2:00,983.5,22.4
Verano,21022025,4:00,983,21.3
Verano,21022025,6:00,984,21.2
Verano,21022025,8:00,985,25.1
Verano,21022025,10:00,984.5,29.6
Verano,21022025,12:00,983.5,30.7
Verano,21022025,14:00,982.5,31.5
Verano,21022025,16:00,982.5,30.8
Verano,21022025,18:00,984,27
Verano,21022025,20:00,985,25.3
Verano,21022025,22:00,985.5,25.4
Verano,22022025,0:00,985,22.7
Verano,22022025,2:00,984,21.4
Verano,22022025,4:00,984,21
Verano,22022025,6:00,985,20.2
Verano,22022025,8:00,985.5,25.9
Verano,22022025,10:00,985.5,29.4
Verano,22022025,12:00,984.5,29.9
Verano,22022025,14:00,983.5,30.6
Verano,22022025,16:00,983.5,29
Verano,22022025,18:00,984.5,27.5
Verano,23022025,6:00,985,21.6
Verano,23022025,8:00,985.5,22.4
Verano,23022025,10:00,985,23.5
Verano,23022025,12:00,984,29.1
Verano,23022025,14:00,983,29.9
Verano,23022025,16:00,982,30.7
Verano,23022025,18:00,983,26.4
Verano,23022025,20:00,984.5,23.5
