Temporada ,Fecha,Hora,Presión(hPa),Temp(°C)
Verano ,07/02/25,8:00,985.5,22.5
Verano ,07/02/25,10:00,986,25
Verano ,07/02/25,12:00,985,27.8
Verano ,07/02/25,14:00,983.8,31.2
Verano ,07/02/25,16:00,983.5,26.6
Verano ,07/02/25,18:00,984.5,25.2
Verano ,07/02/25,20:00,985,23.8
Verano ,07/02/25,22:00,985,22.1
Verano ,08/02/25,0:00,984,21.2
Verano ,08/02/25,2:00,983.5,21.3
Verano ,08/02/25,4:00,983.5,20.6
Verano ,08/02/25,6:00,984.5,20
Verano ,08/02/25,8:00,984.8,23.9
Verano ,08/02/25,10:00,985,25.4
Verano ,08/02/25,12:00,983.7,27
Verano ,08/02/25,14:00,983,25.8
Verano ,08/02/25,16:00,982.4,26.1
Verano ,08/02/25,18:00,983,24.9
Verano ,08/02/25,20:00,984.2,23.3
Verano ,08/02/25,22:00,984.5,22.7
Verano ,09/02/25,0:00,984,21.2
Verano ,09/02/25,2:00,983.7,20.4
Verano ,09/02/25,4:00,983.8,21.2
Verano ,09/02/25,6:00,985,20.7
Verano ,09/02/25,8:00,985.8,24
Verano ,09/02/25,10:00,985.3,27.9
Verano ,09/02/25,12:00,983.9,28.7
Verano ,09/02/25,14:00,983,29.6
Verano ,09/02/25,16:00,982.2,29
Verano ,09/02/25,18:00,984,26.1
Verano ,09/02/25,20:00,985.5,25.5
Verano ,09/02/25,22:00,986,23.5
Invierno ,18/08/25,0:00,0,12.4
Invierno ,18/08/25,2:00,0,14.1
Invierno ,18/08/25,4:00,0,14.5
Invierno ,18/08/25,6:00,0,14.6
Invierno ,18/08/25,8:00,984,15.1
Invierno ,18/08/25,10:00,984.2,16.7
Invierno ,18/08/25,12:00,984,20.3
Invierno ,18/08/25,14:00,982.9,20.6
Invierno ,18/08/25,16:00,982.5,19.8
Invierno ,18/08/25,18:00,983.5,16.3
Invierno ,18/08/25,20:00,984.5,15.2
Invierno ,18/08/25,22:00,985,15
Invierno ,19/08/25,0:00,987.7,14.7
Invierno ,19/08/25,2:00,985,14.5
Invierno ,19/08/25,4:00,984.5,14.5
Invierno ,19/08/25,6:00,985,11.1
Invierno ,19/08/25,8:00,987,14.5
Invierno ,19/08/25,10:00,987.5,18.4
Invierno ,19/08/25,12:00,986.5,19.5
Invierno ,19/08/25,14:00,985,20.1
Invierno ,19/08/25,16:00,984.5,20.2
Invierno ,19/08/25,18:00,985.5,16
Invierno ,19/08/25,20:00,986.8,14.2
Invierno ,19/08/25,22:00,987.3,15
Invierno ,20/08/25,0:00,987,15.1
Invierno ,20/08/25,2:00,985.7,14.9
Invierno ,20/08/25,4:00,985.2,14.6
Invierno ,20/08/25,6:00,986,14.3
Invierno ,20/08/25,8:00,986.5,15.2
Invierno ,20/08/25,10:00,987,17.8
Invierno ,20/08/25,12:00,985.4,20.6
Invierno ,20/08/25,14:00,983.9,21.7
Invierno ,20/08/25,16:00,983.5,19.6
Invierno ,20/08/25,18:00,984.6,16.2
Invierno ,20/08/25,20:00,985.7,15.6
Invierno ,20/08/25,22:00,986.2,15.6
Invierno ,21/08/25,0:00,986,15.5
Invierno ,21/08/25,2:00,985.5,14.8
Invierno ,21/08/25,4:00,985.3,14.4
Invierno ,21/08/25,6:00,986,14
Invierno ,21/08/25,8:00,987,14.1
Invierno ,21/08/25,10:00,987.5,15
Invierno ,21/08/25,12:00,986.2,17.1
Invierno ,21/08/25,14:00,985,16.9
Invierno ,21/08/25,16:00,984.6,16.3
Invierno ,21/08/25,18:00,985.2,14.9
Invierno ,21/08/25,20:00,986.2,14.9
Invierno ,21/08/25,22:00,986.4,15
Invierno ,22/08/25,0:00,986.5,14.6
Invierno ,22/08/25,2:00,986.5,14.4
Invierno ,22/08/25,4:00,986.5,13.7
Invierno ,22/08/25,6:00,987.5,10.2
Invierno ,22/08/25,8:00,989,14.8
Invierno ,22/08/25,10:00,989.4,16.5
Invierno ,22/08/25,12:00,988.5,16
Invierno ,22/08/25,14:00,987.3,16.4
Invierno ,22/08/25,16:00,986.7,15.3
Invierno ,22/08/25,18:00,987,14.6
Invierno ,22/08/25,20:00,987.5,14.7
Invierno ,22/08/25,22:00,988,14.7
Invierno ,23/08/25,0:00,987.7,14.5
Invierno ,23/08/25,2:00,986.7,14.3
Invierno ,23/08/25,4:00,986.3,14.1
Invierno ,23/08/25,6:00,987.3,14
Invierno ,23/08/25,8:00,987.8,14.7
Invierno ,23/08/25,10:00,988.4,14.9
Invierno ,23/08/25,12:00,987.5,17.4
Invierno ,23/08/25,14:00,986.5,16.9
Invierno ,23/08/25,16:00,986,15.7
Invierno ,23/08/25,18:00,986.3,14.7
Invierno ,23/08/25,20:00,986.7,14.6
Invierno ,23/08/25,22:00,987.3,14.8
Invierno ,24/08/25,0:00,986.9,14.7
Invierno ,24/08/25,2:00,985.7,14.9
Invierno ,24/08/25,4:00,985.5,14.5
Invierno ,24/08/25,6:00,985,14.2
Invierno ,24/08/25,8:00,987.3,14.3
Invierno ,24/08/25,10:00,987.9,15.1
Invierno ,24/08/25,12:00,986,17.1
Invierno ,24/08/25,14:00,984.9,16.6
Invierno ,24/08/25,16:00,984.2,15.2
Invierno ,24/08/25,18:00,984.5,14.8
Invierno ,24/08/25,20:00,985,14.5
Invierno ,24/08/25,22:00,986,14.5
