Temporada,Fecha,Hora,Presion(hPa),Temp(°C)
Invierno ,26/08/2025,20:00,985.5,13.3
Invierno ,26/08/2025,22:00,985.2,13.1
Invierno ,27/08/2025,0:00,985.5,14.3
Invierno ,27/08/2025,2:00,985,13.9
Invierno ,27/08/2025,4:00,985,13.7
Invierno ,27/08/2025,6:00,985.8,13.3
Invierno ,27/08/2025,8:00,986.9,13.5
Invierno ,27/08/2025,10:00,987.1,15
Invierno ,27/08/2025,12:00,986.8,16.7
Invierno ,27/08/2025,14:00,985,18.6
Invierno ,27/08/2025,16:00,984.5,16.6
Invierno ,27/08/2025,18:00,985.5,15
Invierno ,27/08/2025,20:00,986.5,14.4
Invierno ,27/08/2025,22:00,986.8,14.2
Invierno ,28/08/2025,0:00,986.2,14
Invierno ,28/08/2025,2:00,985.3,13.7
Invierno ,28/08/2025,4:00,985,13.8
Invierno ,28/08/2025,6:00,986.3,13.8
Invierno ,28/08/2025,8:00,987.3,13.8
Invierno ,28/08/2025,10:00,987.8,14.6
Invierno ,28/08/2025,12:00,986.6,15.1
Invierno ,28/08/2025,14:00,985.5,15.4
Invierno ,28/08/2025,16:00,985.3,15.2
Invierno ,28/08/2025,18:00,985.7,14.4
Invierno ,28/08/2025,20:00,986.6,14
Invierno ,28/08/2025,22:00,987.1,14
Invierno ,29/08/2025,0:00,987,13.8
Invierno ,29/08/2025,2:00,986.4,13.8
Invierno ,29/08/2025,4:00,986.5,13.8
Invierno ,29/08/2025,6:00,987.3,13.8
Invierno ,29/08/2025,8:00,988,14.1
Invierno ,29/08/2025,10:00,988.5,14.8
Invierno ,29/08/2025,12:00,987.8,15.7
Invierno ,29/08/2025,14:00,987.2,15.5
Invierno ,29/08/2025,16:00,986.8,15
Invierno ,29/08/2025,18:00,986.5,14.6
Invierno ,29/08/2025,20:00,987,14
Invierno ,29/08/2025,22:00,986.9,13.4
Invierno ,30/08/2025,0:00,987.3,13.6
Invierno ,30/08/2025,2:00,987.1,13.6
Invierno ,30/08/2025,4:00,987.4,13.3
Invierno ,30/08/2025,6:00,-,13.1
Invierno ,30/08/2025,8:00,-,14.4
Invierno ,30/08/2025,10:00,989,15.9
Invierno ,30/08/2025,12:00,988.1,17.7
Invierno ,30/08/2025,14:00,986,22.5
Invierno ,30/08/2025,16:00,985,20.5
Invierno ,30/08/2025,18:00,985.5,16.6
Invierno ,30/08/2025,20:00,987,14.6
Invierno ,30/08/2025,22:00,987.2,13.4
Invierno ,31/08/2025,0:00,987,13.1
Invierno ,31/08/2025,2:00,986.8,13.8
Invierno ,31/08/2025,4:00,986.1,13.7
Invierno ,31/08/2025,6:00,986,12.4
Invierno ,31/08/2025,8:00,986.6,14.4
Invierno ,31/08/2025,10:00,987.5,16.2
Invierno ,31/08/2025,12:00,987,19.7
Invierno ,31/08/2025,14:00,986,22.1
Invierno ,31/08/2025,16:00,986.3,19.5
Invierno ,31/08/2025,18:00,984.5,15.6
Invierno ,31/08/2025,20:00,985.3,12.9
Invierno ,31/08/2025,22:00,985.8,13.2
Invierno ,01/09/2025,0:00,985.6,12
